n_agents;t_ms_avg;t_ms_std
50;11.225438000110444;1.3534282882249542
100;23.112416599906282;2.0497643503540277
150;35.558758600382134;2.477123335067242
200;46.18791600005352;2.4090382439119717
250;57.96396299992921;2.6058804412519074
300;73.69074620073661;3.5800865167992177
350;82.913070799259;2.299920722458662
400;96.71247859951109;4.108140390183621
450;107.03191020002123;1.993822769970061
500;121.42833580001025;8.012411412965523
550;131.29898119877907;3.1985516174031705
600;145.59924039931502;1.1227436999065818
650;158.6496634001378;4.842365559403799
700;169.1581456005224;2.896655267246045
750;184.5366556000954;2.8685394053471627
800;196.3060575988493;2.8205898853257767
850;206.52115840057377;4.124854936643625
900;234.7125476000656;6.105060636497549
950;240.8062105998397;5.3887498684191435
1000;262.1305978005694;7.584549677713126
