day;avg_sa
1;0.001686
2;0.002218
3;0.002644
4;0.00304
5;0.0034260000000000002
6;0.003746
7;0.004086
8;0.0044340000000000004
9;0.004706
10;0.004988
11;0.0052759999999999994
12;0.005568000000000001
13;0.005834000000000001
14;0.006086
15;0.006324
16;0.0065060000000000005
17;0.006736
18;0.006928
19;0.0071319999999999995
20;0.007328
21;0.007532
22;0.00774
23;0.007932
24;0.008124000000000001
25;0.008266
26;0.008428
27;0.008618
28;0.008764
29;0.008926
30;0.00908
31;0.009231999999999999
32;0.009416
33;0.009576000000000001
34;0.009728
35;0.009872
36;0.010034000000000001
37;0.010178
38;0.01033
39;0.010486
40;0.010608000000000001
41;0.010754
42;0.01092
43;0.011044
44;0.011226
45;0.011368
46;0.011496000000000001
47;0.011632
48;0.01174
49;0.011848
50;0.011970000000000001
51;0.012092
52;0.012254
53;0.012374000000000001
54;0.01249
55;0.012629999999999999
56;0.012747999999999999
57;0.012868000000000001
58;0.012974
59;0.01307
60;0.013226
61;0.01333
62;0.013413999999999999
63;0.013544
64;0.013652
65;0.013762
66;0.013864000000000001
67;0.013986
68;0.014078
69;0.014182
70;0.01431
71;0.014412
72;0.014522
73;0.014612
74;0.014704
75;0.01479
76;0.01489
77;0.01498
78;0.015099999999999999
79;0.015194000000000001
80;0.01529
81;0.015378
82;0.015488
83;0.01558
84;0.015686
85;0.015785999999999998
86;0.015888
87;0.016014
88;0.016111999999999998
89;0.016204
90;0.016282
91;0.016390000000000002
92;0.016504
93;0.016626000000000002
94;0.016704
95;0.016815999999999998
96;0.016914000000000002
97;0.017004000000000002
98;0.0171
99;0.017192
100;0.017274
101;0.017366
102;0.017448
103;0.017522
104;0.017603999999999998
105;0.017698000000000002
106;0.01777
107;0.017872
108;0.017968
109;0.018058
110;0.018138
111;0.01821
112;0.018303999999999997
113;0.01841
114;0.018496
115;0.018606
116;0.018706
117;0.018784
118;0.018892
119;0.01899
120;0.01909
121;0.019184
122;0.019268
123;0.019356
124;0.019438
125;0.019514
126;0.019594
127;0.019694
128;0.019774
129;0.019870000000000002
130;0.019954
131;0.020026
132;0.020108
133;0.020202
134;0.020276
135;0.02038
136;0.020468
137;0.020536000000000002
138;0.020614
139;0.020696000000000003
140;0.020772
141;0.02085
142;0.020905999999999998
143;0.020994
144;0.02109
145;0.02117
146;0.021262
147;0.021346
148;0.021416
149;0.021492
150;0.02156
151;0.021648
152;0.021752
153;0.021842
154;0.021918
155;0.022010000000000002
156;0.022091999999999997
157;0.022161999999999998
158;0.022248
159;0.022328
160;0.022396
161;0.022468
162;0.022553999999999998
163;0.022634
164;0.022713999999999998
165;0.022802
166;0.022874
167;0.022934
168;0.023008
169;0.02309
170;0.02316
171;0.023216
172;0.023289999999999998
173;0.023344
174;0.02341
175;0.023492000000000002
176;0.023576
177;0.023652
178;0.023726
179;0.023784
180;0.023842
181;0.023944
182;0.024021999999999998
183;0.024062
184;0.024124
185;0.024210000000000002
186;0.02428
187;0.024354
188;0.024437999999999998
189;0.024506
190;0.024574000000000002
191;0.024634
192;0.024696000000000003
193;0.024766000000000003
194;0.02484
195;0.02491
196;0.024968
197;0.025054
198;0.025148
199;0.025238
200;0.025304
