n_agents;t_ms_avg;t_ms_std
50;17.390338600671384;0.49868953964975316
100;48.21197840064997;2.5541041597552385
150;75.80401080122101;1.4344852063975817
200;101.69820939991041;3.924432603263934
250;132.26012339946465;2.734634318591335
300;168.11064920111676;8.594225684682511
350;183.95222120016115;5.720051183672173
400;217.89541880207253;8.986423921754835
450;251.41730840114178;4.873328814813728
500;271.9060735995299;7.335988970969421
550;304.49274120110204;6.895810355401808
600;333.47213040106;10.69345188783234
650;360.81227300019236;6.91597545411431
700;393.02271919950726;16.145588496843743
750;405.63238780159736;6.797785572053007
800;433.4769093991781;17.355753947451905
850;457.01706820109393;9.37135255298091
900;484.17476739923586;11.45004717352984
950;515.5050508008571;13.0236863216869
1000;546.6496360000747;17.711135953972658
