day;avg_sa
1;0.0016899999999999999
2;0.002373
3;0.0031230000000000003
4;0.003851
5;0.004638
6;0.005381
7;0.0060869999999999995
8;0.006709
9;0.007432
10;0.008180999999999999
11;0.00899
12;0.009629
13;0.010317
14;0.01097
15;0.011758
16;0.012454
17;0.013095
18;0.013917
19;0.01464
20;0.015304
21;0.016045999999999998
22;0.016614
23;0.017289000000000002
24;0.018028
25;0.018672
26;0.019309999999999997
27;0.020059
28;0.020603000000000003
29;0.021424
30;0.022157
31;0.022805
32;0.023535
33;0.024165
34;0.024858
35;0.025547
36;0.026276
37;0.026918
38;0.027466
39;0.028192000000000002
40;0.028817
41;0.029494
42;0.030107
43;0.030622
44;0.03125
45;0.031823
46;0.032540999999999994
47;0.033094
48;0.033758
49;0.03436
50;0.035215
51;0.035876
52;0.036520000000000004
53;0.037242
54;0.037997
55;0.038617
56;0.03933
57;0.040193
58;0.040957
59;0.04177
60;0.042444
61;0.04292
62;0.043496
63;0.044099
64;0.044761
65;0.045445
66;0.046178
67;0.046604999999999994
68;0.047241
69;0.047853
70;0.048441000000000005
71;0.049037
72;0.049858
73;0.050503
74;0.051111
75;0.051588999999999996
76;0.052222000000000005
77;0.052908000000000004
78;0.053673
79;0.054405999999999996
80;0.055172
81;0.055898
82;0.056371000000000004
83;0.056845
84;0.057332
85;0.057753
86;0.058319
87;0.058924
88;0.059514000000000004
89;0.060046999999999996
90;0.060599
91;0.061321
92;0.061954999999999996
93;0.06243
94;0.06314399999999999
95;0.063806
96;0.064422
97;0.06505200000000001
98;0.065584
99;0.066114
100;0.066716
101;0.067305
102;0.068092
103;0.068867
104;0.069476
105;0.070146
106;0.07066
107;0.07133
108;0.072056
109;0.072772
110;0.073424
111;0.074146
112;0.074889
113;0.07548
114;0.076017
115;0.07662000000000001
116;0.077356
117;0.078007
118;0.078466
119;0.079212
120;0.080096
121;0.08088
122;0.081716
123;0.082141
124;0.08292100000000001
125;0.083568
126;0.084182
127;0.084937
128;0.085728
129;0.086565
130;0.087302
131;0.08801600000000001
132;0.088607
133;0.089394
134;0.09005800000000001
135;0.090502
136;0.091065
137;0.091661
138;0.092146
139;0.092961
140;0.093874
141;0.094756
142;0.095401
143;0.09601000000000001
144;0.096618
145;0.097304
146;0.09789
147;0.09832099999999999
148;0.098955
149;0.099523
150;0.100185
151;0.10088
152;0.10143
153;0.102085
154;0.102664
155;0.10319199999999999
156;0.10390300000000001
157;0.10455
158;0.105377
159;0.106003
160;0.10665000000000001
161;0.10704000000000001
162;0.107673
163;0.10842600000000001
164;0.10904699999999999
165;0.109979
166;0.11054900000000001
167;0.11121299999999999
168;0.11214700000000001
169;0.112925
170;0.113613
171;0.114214
172;0.114912
173;0.11568
174;0.116334
175;0.117154
176;0.117677
177;0.118509
178;0.119137
179;0.119463
180;0.12007000000000001
181;0.120809
182;0.12137
183;0.121932
184;0.12253
185;0.123293
186;0.123709
187;0.124238
188;0.12489499999999999
189;0.125421
190;0.125927
191;0.126708
192;0.12728799999999998
193;0.127999
194;0.128572
195;0.12921000000000002
196;0.130046
197;0.13068000000000002
198;0.13112200000000002
199;0.131978
200;0.132606
