n_agents;t_ms
50;3.603944665276989
100;8.40192166773098
150;11.674924332813438
200;15.687311000268286
250;20.373000334075186
300;23.071721333205158
350;26.640897665250424
400;31.2503956653624
450;34.47669099962999
500;39.264747332102466
550;44.961089332597716
600;49.32479266669058
650;51.9023456654395
700;56.17734966775364
750;59.33764166669183
800;63.10303900075572
850;67.24452499959928
900;71.42939133336768
950;75.72446900060943
1000;79.1548406656754
