day;m1
1;0.166667
2;0.233333
3;0.433333
4;0.6
5;0.733333
6;0.8
7;0.966667
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;0.966667
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;0.966667
27;1
28;1
29;1
30;1
31;0.966667
32;0.966667
33;0.966667
34;1
35;1
36;1
37;1
38;0.966667
39;0.966667
40;0.966667
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;0.966667
52;1
53;1
54;1
55;1
56;0.966667
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;0.966667
65;1
66;0.966667
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;0.966667
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;0.966667
85;1
86;0.966667
87;1
88;1
89;0.966667
90;1
91;1
92;0.966667
93;1
94;1
95;0.966667
96;1
97;1
98;0.966667
99;0.966667
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;0.966667
121;1
122;1
123;1
124;1
125;1
126;1
127;0.966667
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;0.966667
136;1
137;0.966667
138;0.966667
139;1
140;0.966667
141;1
142;0.966667
143;1
144;1
145;0.966667
146;0.966667
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;0.966667
160;1
161;0.966667
162;0.966667
163;1
164;1
165;1
166;1
167;0.966667
168;1
169;0.966667
170;1
171;1
172;0.966667
173;1
174;1
175;1
176;0.966667
177;0.966667
178;1
179;0.966667
180;1
181;0.966667
182;1
183;1
184;1
185;1
186;0.966667
187;1
188;1
189;1
190;1
191;0.966667
192;1
193;0.966667
194;1
195;1
196;1
197;1
198;1
199;0.966667
200;1
